2025-06-19 23:04:06 | INFO     | basic           | ================================================================================
2025-06-19 23:04:06 | INFO     | basic           | RAG PIPELINE LOGGING STARTED
2025-06-19 23:04:06 | INFO     | basic           | Log file: logs/rag_pipeline_20250619_230406.log
2025-06-19 23:04:06 | INFO     | basic           | ================================================================================
2025-06-19 23:04:18 | INFO     | basic           | RAG Pipeline initialized successfully
2025-06-19 23:04:18 | INFO     | basic           | ============================================================
2025-06-19 23:04:18 | INFO     | basic           | DOCUMENT PROCESSING STARTED
2025-06-19 23:04:18 | INFO     | basic           | Total documents to process: 1
2025-06-19 23:04:18 | INFO     | basic           | ============================================================
2025-06-19 23:04:18 | INFO     | basic           | [1/1] Processing: Dxb to Mad.pdf
2025-06-19 23:04:18 | INFO     | basic           |    File path: uploads\Dxb to Mad.pdf
2025-06-19 23:04:18 | INFO     | basic           |    File size: 390.4 KB
2025-06-19 23:04:18 | INFO     | basic           |    Opening PDF: Dxb to Mad.pdf
2025-06-19 23:04:18 | INFO     | basic           |    PDF has 1 pages
2025-06-19 23:04:18 | INFO     | basic           |    Processing Dxb to Mad.pdf - Page 1/1
2025-06-19 23:04:18 | INFO     | basic           | Found 1 substantial images in page
2025-06-19 23:04:18 | INFO     | basic           | Saved extracted embedded image: extracted_images\Dxb to Mad_pdf_page_0_image_0.png
2025-06-19 23:04:32 | INFO     | httpx           | HTTP Request: POST https://magicplatform-gpt4-o-gs-test-canadaeast.openai.azure.com/openai/deployments/MagicPlatform-GPT4-O-GS-Test/chat/completions?api-version=2024-02-15-preview "HTTP/1.1 200 OK"
2025-06-19 23:04:33 | INFO     | basic           | Created summary for extracted image 0: (2380, 3372)
2025-06-19 23:04:33 | INFO     | basic           |       Page 1: Found images (1 summaries)
2025-06-19 23:04:33 | INFO     | basic           |    Document Summary for Dxb to Mad.pdf:
2025-06-19 23:04:33 | INFO     | basic           |       Total pages: 1
2025-06-19 23:04:33 | INFO     | basic           |       Pages with text only: 0
2025-06-19 23:04:33 | INFO     | basic           |       Pages with images only: 1
2025-06-19 23:04:33 | INFO     | basic           |       Pages with both text and images: 0
2025-06-19 23:04:33 | INFO     | basic           |       Total text chunks: 0
2025-06-19 23:04:33 | INFO     | basic           |       Total image chunks: 1
2025-06-19 23:04:33 | INFO     | basic           |       Total chunks generated: 1
